"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2,100,100,0,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Affoltern am Albis hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Zürich. Affoltern am Albis hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Zürich.","Nulle part ailleurs en Suisse, la loi sur les services d'identification électronique est approuvée plus fortement qu'à Affoltern am Albis. Les électeurs de cette commune disent oui à 100 pour cent. Le plus fort pourcentage de oui du canton de Zurich a été obtenu à Affoltern am Albis.","In nessun altra parte della Svizzera le legge sull'identificazione elettronica è stata approvata così chiaramente come a Affoltern am Albis. Gli elettori hanno detto ""sì"" con il 100 percento dei voti. La più alta percentuale di ""sì"" nel canton Zurigo è stata ottenuta a Affoltern am Albis."
3,61.3,61.3,38.7,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","61,3 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zum E-ID-Gesetz. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 61,3 pour cent à la loi sur les services d'identification électronique à Bonstetten. Bonstetten a approuvé la loi, contrairement à son canton.","Con il 61,3 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto la legge sull'identificazione elettronica. Bonstetten, al contrario del suo cantone, ha approvato la legge."
4,59.5,59.5,40.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","59,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für das E-ID-Gesetz ausgesprochen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Hausen am Albis, les habitants disent oui à 59,5 pour cent à la loi sur les services d'identification électronique. Hausen am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Hausen am Albis la legge sull'identificazione elettronica è stata approvata con il 59,5 percento dei voti. Hausen am Albis, al contrario del suo cantone, ha approvato la legge."
1,70.3,70.3,29.7,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Mit 70,3 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Aeugst am Albis das E-ID-Gesetz angenommen. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants d'Aeugst am Albis acceptent la loi sur les services d'identification électronique avec 70,3 pour cent de oui. Aeugst am Albis a approuvé la loi, contrairement à son canton.","Nel comune di Aeugst am Albis la legge sull'identificazione elettronica è stata accetata con il 70,3 percento dei voti. Aeugst am Albis, al contrario del suo cantone, ha approvato la legge."
6,98.4,98.4,1.6,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","98,4 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zum E-ID-Gesetz. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","C'est oui à 98,4 pour cent à la loi sur les services d'identification électronique à Kappel am Albis. Kappel am Albis a approuvé la loi, contrairement à son canton.","Con il 98,4 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto la legge sull'identificazione elettronica. Kappel am Albis, al contrario del suo cantone, ha approvato la legge."
7,46.5,46.5,53.5,"Knonau ZH","Knonau (ZH)","Knonau ZH","53,5 der Stimmbürgerinnen und Stimmbürger von Knonau haben das E-ID-Gesetz zur Einführung einer elektronischen Identität abgelehnt. Knonau hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants de Knonau s'opposent à la loi sur les services d'identification électronique avec 53,5 pour cent de non. Knonau a rejeté la loi, tout comme son canton.","No alla legge sull'identificazione elettronica nel comune di Knonau: i cittadini hanno bocciato il testo con il 53,5 percento dei voti. Knonau ha bocciato la legge, proprio come il suo cantone."
8,40.1,40.1,59.9,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Mit 1'847 Nein zu 1'236 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden die Änderung das E-ID-Gesetz abgelehnt. Das sind 59,9 Prozent. Maschwanden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Maschwanden, les habitants sont défavorables à la loi sur les services d'identification électronique avec 59,9 pour cent de non. Maschwanden a rejeté la loi, tout comme son canton.","Con il 59,9 percento di ""no"", i cittadini del comune di Maschwanden hanno respinto la legge sull'identificazione elettronica. Maschwanden ha bocciato la legge, proprio come il suo cantone."
5,15.1,15.1,84.9,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","84,9 der Stimmbürgerinnen und Stimmbürger von Hedingen haben das E-ID-Gesetz zur Einführung einer elektronischen Identität abgelehnt. Hedingen hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","Les habitants de Hedingen s'opposent à la loi sur les services d'identification électronique avec 84,9 pour cent de non. Hedingen a rejeté la loi, tout comme son canton.","No alla legge sull'identificazione elettronica nel comune di Hedingen: i cittadini hanno bocciato il testo con il 84,9 percento dei voti. Hedingen ha bocciato la legge, proprio come il suo cantone."
10,29.1,29.1,70.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","70,9 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich gegen einen zweiwöchigen bezahlten Vaterschaftsurlaub ausgesprochen. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Obfelden, les habitants disent non à 70,9 pour cent à la loi sur les services d'identification électronique. Obfelden a rejeté la loi, tout comme son canton.","I cittadini di Obfelden si sono espressi contro la legge sull'identificazione elettronica. Il testo è stato respinto con il 70,9 percento dei voti. Obfelden ha bocciato la legge, proprio come il suo cantone."
11,65.7,65.7,34.3,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Mit 8'050 Ja zu 4'207 Nein hat sich Ottenbach für das E-ID-Gesetz ausgesprochen. Das entspricht 65,7 Prozent.. Ottenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les habitants d'Ottenbach approuvent la loi sur les services d'identification électronique avec 65,7 pour cent de oui. Ottenbach a approuvé la loi, contrairement à son canton.","Sì alla legge sull'identificazione elettronica nel comune di Ottenbach: i cittadini hanno approvato il testo con il 65,7 percento dei voti. Ottenbach, al contrario del suo cantone, ha approvato la legge."
